"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"ARABIC","220","Middle Eastern Languages and Cultures","Seminar in Classical Arabic Literature","3","3","-","A close reading and careful literary analysis of significant authors and specific topics in Classical Arabic prose or poetry or both.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARABIC","245","Middle Eastern Languages and Cultures","Seminar: Modernist Arabic Poetics","3","3","-","This course examines the origins, status, and function of literary theory in the making of modern Arabic literature. Questions of cultural influence, literary genres, forms, modes, and techniques of representation are all central to the interests of this course.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARABIC","298","Middle Eastern Languages and Cultures","Seminar","1","4","-","Special topics in Arabic. Topics vary and are announced at the beginning of each semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ARCH","200A","Architecture","Introduction to Architecture Studio 1","6","6","-","Introductory course in architectural design and theories for graduate students. Problems emphasize the major format, spatial, material, tectonic, social, technological, and environmental determinants of building form. Studio work is supplemented by lectures, discussions, readings, and field trips.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","200B","Architecture","Introduction to Architecture Studio 2","6","6","-","Introductory course in architectural design and theories for graduate students. Problems emphasize the major format, spatial, material, tectonic, social, technological, and environmental determinants of building form. Studio work is supplemented by lectures, discussions, readings, and field trips. ","-","Course is not repeatable for credit.","-","-","-"
"ARCH","200C","Architecture","Representational Practice in Architectural Design","3","3","-","This course will address three distinct levels of representational practice in architectural design: 1) cultivate an understanding of the foundational discourse and diversity of approaches to architectural representation; 2) develop a fluency in the canonical methods found in architectural practice; 3) encourage the development of a personal relationship to forms of modeling and formats of drawing.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","200D","Architecture","Representational Practice in Architectural Design II","2","2","-","ARCH 200D is the second part in a two-part sequence of classes that introduces students to techniques of architectural representation as well as the concepts and precedents that surround them.  Building on the concepts and techniques introduced in ARCH 200C, this class will expand students’ technical knowledge to include rendering, notation, and graphic design.  Each topic will be broken into a separate module and be supported with lectures, discussions, tutorials, workshops and presentations. Additionally, the class is closely linked with ARCH 200B, Introduction to Architecture Studio 2 and will provide much of the technical skill-building for that class.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","201","Architecture","Architecture & Urbanism Design Studio","6","6","-","The design of buildings or communities of advanced complexity. Each section deals with a specific topic such as housing, public and institutional buildings, and local or international community development. Studio work is supplemented by lectures, discussions, readings, and field trips.","-","Course may be repeated for credit without restriction.","-","-","-"
"ARCH","202","Architecture","Graduate Option Studio","6","6","-","Focused design and research for graduate students. ","-","Course is not repeatable for credit.","-","-","-"
"ARCH","203","Architecture","Integrated Design Studio","6","6","-","The Integrated Design Studio is the penultimate studio where students incorporate their accumulated knowledge into architectural solutions. The students demonstrate the integrative thinking that shapes complex architectural design and technical solutions. Students will possess an understanding to classify, compare, summarize, explain and/or interpret information. The students will also become proficient in using specific information to accomplish a task, correctly selecting the appropriate information and accurately applying it to the solution of a specific problem while also distinguishing the effects of its implementation.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARCH","204","Architecture","Final Project Studio: Studio Thesis Option","5","5","-","Focused design research as the capstone project for graduate students.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","204A","Architecture","Thesis Seminar","3","3","-","Focused design research as the capstone project for graduate students.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","204B","Architecture","Thesis Studio","6","6","-","Focused design research as the capstone project for graduate students.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","205A","Architecture","Studio One, Fall","6","6","-","The first semester of a one-year, post-professional design studio intended for those students who have a professional architecture degree and wish to explore current design issues in a stimulating, rigorous, and highly experimental studio setting.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","205B","Architecture","Studio One, Spring","6","6","-","This course is the second semester of a one-year, post-professional studio intended for those students who have a professional architecture degree and wish to explore current design issues in a stimulating, rigorous, and highly experimental studio setting. ","-","Course is not repeatable for credit.","-","-","-"
"ARCH","207A","Architecture","Architecture Lectures Colloquium","1","1","-","This course accompanies the required introductory design studio in the three-year option of the Master of Architecture program. It is the first in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. Students will attend all Wednesday evening lectures of the College of Environmental Design lecture series. Every third week, they will meet with the instructor for a one-hour discussion.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARCH","207B","Architecture","Architecture Research Colloquium","1","1","-","This course accompanies the second year of the required architecture and urbanism design studio in the three-year option of the Master of Architecture program. It is the second in a series of three one-unit colloquia, scheduled consecutively in the fall for the first three years of the program. For a one-hour session each week, faculty in the department of architecture, other departments of the College of Environmental Design, and global guest speakers will present lectures on their research and design practices in urbanism.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARCH","207C","Architecture","Professional Practice Colloquium","1","1","-","This course accompanies the required comprehensive design studio in the three-year option of the Master of Architecture program. It is the third in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. ","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARCH","207D","Architecture","The Cultures of Practice","3","3","-","The nature of architectural practice, how it has evolved and how it is changing in today's world is the theme of the class. The course considers how diverse cultures--both anthropological and professional--contribute to practice, and how the culture of practice evolves. The class has three five-week modules, devoted to the following themes: traditions of practice, research in the culture of the profession, and innovations in practice.","-","Course is not repeatable for credit.","-","-","-"
"ARCH","209","Architecture","Special Topics in Architectural Design","1","4","-","Topics deal with major problems and current issues in architectural design. For current offerings, see departmental website. ","-","Course may be repeated for credit when topic changes.","-","-","-"
"ARCH","211","Architecture","Theory and Methods in the Social and Cultural Basis of Design","3","4","-","Explores a variety of theories which explain and document the relationship between humans and the environment they build; outlines the research methods appropriate to each theory.","-","Course may be repeated for credit without restriction.","-","-","-"
